timestamp,message
0.00,SIM_START
1.40,"[Sequencer] New Task, id_000, D-1, R-1, Stat"
4.57,"[Sequencer] New Task, id_001, D-2, R-2, Normal"
4.71,"[Sequencer] New Task, id_002, D-3, R-3, Stat"
4.84,"[Sequencer] New Task, id_003, D-4, R-4, Stat"
4.96,"[Sequencer] New Task, id_004, D-5, R-5, Normal"
5.10,"[Sequencer] New Task, id_005, D-6, R-6, Stat"
5.23,"[Sequencer] New Task, id_006, D-7, R-7, Stat"
5.37,"[Sequencer] New Task, id_007, D-8, R-8, Stat"
5.50,"[Sequencer] New Task, id_008, D-9, R-9, Normal"
5.65,"[Sequencer] New Task, id_009, D-10, R-10, Normal"
5.79,"[Sequencer] New Task, id_010, D-11, R-11, Normal"
5.93,"[Sequencer] New Task, id_011, D-12, R-12, Stat"
6.06,"[Sequencer] New Task, id_012, D-1, R-13, Stat"
6.19,"[Sequencer] New Task, id_013, D-2, R-14, Stat"
6.33,"[Sequencer] New Task, id_014, D-3, R-15, Normal"
6.53,"[Sequencer] New Task, id_015, D-4, R-16, Normal"
6.66,"[Sequencer] New Task, id_016, D-5, R-17, Normal"
6.79,"[Sequencer] New Task, id_017, D-6, R-18, Normal"
6.93,"[Sequencer] New Task, id_018, D-7, R-19, Stat"
7.06,"[Sequencer] New Task, id_019, D-8, R-20, Stat"
7.19,"[Sequencer] New Task, id_020, D-9, R-21, Stat"
7.33,"[Sequencer] New Task, id_021, D-10, R-22, Normal"
7.45,"[Sequencer] New Task, id_022, D-11, R-23, Stat"
7.58,"[Sequencer] New Task, id_023, D-12, R-24, Stat"
7.71,"[Sequencer] New Task, id_024, D-1, R-1, Stat"
7.83,"[Sequencer] New Task, id_025, D-2, R-2, Normal"
7.96,"[Sequencer] New Task, id_026, D-3, R-3, Normal"
8.09,"[Sequencer] New Task, id_027, D-4, R-4, Normal"
8.21,"[Sequencer] New Task, id_028, D-5, R-5, Normal"
8.34,"[Sequencer] New Task, id_029, D-6, R-6, Stat"
8.47,"[Sequencer] New Task, id_030, D-7, R-7, Stat"
8.60,"[Sequencer] New Task, id_031, D-8, R-8, Stat"
8.73,"[Sequencer] New Task, id_032, D-9, R-9, Normal"
8.86,"[Sequencer] New Task, id_033, D-10, R-10, Normal"
8.99,"[Sequencer] New Task, id_034, D-11, R-11, Normal"
9.12,"[Sequencer] New Task, id_035, D-12, R-12, Normal"
9.25,"[Sequencer] New Task, id_036, D-1, R-13, Normal"
9.37,"[Sequencer] New Task, id_037, D-2, R-14, Normal"
9.50,"[Sequencer] New Task, id_038, D-3, R-15, Normal"
9.68,"[Sequencer] New Task, id_039, D-4, R-16, Stat"
9.80,"[Sequencer] New Task, id_040, D-5, R-17, Normal"
9.93,"[Sequencer] New Task, id_041, D-6, R-18, Stat"
10.06,"[Sequencer] New Task, id_042, D-7, R-19, Stat"
10.19,"[Sequencer] New Task, id_043, D-8, R-20, Normal"
10.32,"[Sequencer] New Task, id_044, D-9, R-21, Stat"
10.44,"[Sequencer] New Task, id_045, D-10, R-22, Stat"
10.57,"[Sequencer] New Task, id_046, D-11, R-23, Normal"
10.70,"[Sequencer] New Task, id_047, D-12, R-24, Normal"
10.83,"[Sequencer] New Task, id_048, D-1, R-1, Stat"
10.96,"[Sequencer] New Task, id_049, D-2, R-2, Normal"
11.08,"[Sequencer] New Task, id_050, D-3, R-3, Normal"
11.21,"[Sequencer] New Task, id_051, D-4, R-4, Normal"
11.34,"[Sequencer] New Task, id_052, D-5, R-5, Stat"
11.47,"[Sequencer] New Task, id_053, D-6, R-6, Stat"
11.60,"[Sequencer] New Task, id_054, D-7, R-7, Stat"
11.73,"[Sequencer] New Task, id_055, D-8, R-8, Stat"
11.86,"[Sequencer] New Task, id_056, D-9, R-9, Normal"
11.98,"[Sequencer] New Task, id_057, D-10, R-10, Stat"
12.11,"[Sequencer] New Task, id_058, D-11, R-11, Normal"
12.24,"[Sequencer] New Task, id_059, D-12, R-12, Normal"
12.36,"[Sequencer] New Task, id_060, D-1, R-13, Stat"
12.49,"[Sequencer] New Task, id_061, D-2, R-14, Normal"
12.63,"[Sequencer] New Task, id_062, D-3, R-15, Normal"
12.75,"[Sequencer] New Task, id_063, D-4, R-16, Stat"
12.88,"[Sequencer] New Task, id_064, D-5, R-17, Stat"
13.08,"[Sequencer] New Task, id_065, D-6, R-18, Normal"
13.25,"[Sequencer] New Task, id_066, D-7, R-19, Normal"
13.44,"[Sequencer] New Task, id_067, D-8, R-20, Normal"
13.57,"[Sequencer] New Task, id_068, D-9, R-21, Normal"
13.75,"[Sequencer] New Task, id_069, D-10, R-22, Normal"
13.89,"[Sequencer] New Task, id_070, D-11, R-23, Normal"
14.03,"[Sequencer] New Task, id_071, D-12, R-24, Normal"
14.17,"[Sequencer] New Task, id_072, D-1, R-1, Stat"
14.32,"[Sequencer] New Task, id_073, D-2, R-2, Normal"
14.47,"[Sequencer] New Task, id_074, D-3, R-3, Normal"
14.60,"[Sequencer] New Task, id_075, D-4, R-4, Normal"
14.75,"[Sequencer] New Task, id_076, D-5, R-5, Normal"
14.92,"[Sequencer] New Task, id_077, D-6, R-6, Stat"
15.05,"[Sequencer] New Task, id_078, D-7, R-7, Normal"
15.19,"[Sequencer] New Task, id_079, D-8, R-8, Stat"
15.32,"[Sequencer] New Task, id_080, D-9, R-9, Stat"
15.45,"[Sequencer] New Task, id_081, D-10, R-10, Normal"
15.58,"[Sequencer] New Task, id_082, D-11, R-11, Stat"
15.70,"[Sequencer] New Task, id_083, D-12, R-12, Normal"
15.83,"[Sequencer] New Task, id_084, D-1, R-13, Normal"
15.96,"[Sequencer] New Task, id_085, D-2, R-14, Normal"
16.09,"[Sequencer] New Task, id_086, D-3, R-15, Stat"
16.22,"[Sequencer] New Task, id_087, D-4, R-16, Normal"
16.34,"[Sequencer] New Task, id_088, D-5, R-17, Normal"
16.47,"[Sequencer] New Task, id_089, D-6, R-18, Normal"
16.60,"[Sequencer] New Task, id_090, D-7, R-19, Normal"
16.73,"[Sequencer] New Task, id_091, D-8, R-20, Stat"
16.87,"[Sequencer] New Task, id_092, D-9, R-21, Normal"
16.99,"[Sequencer] New Task, id_093, D-10, R-22, Normal"
17.12,"[Sequencer] New Task, id_094, D-11, R-23, Normal"
17.24,"[Sequencer] New Task, id_095, D-12, R-24, Stat"
17.38,"[Sequencer] New Task, id_096, D-1, R-1, Normal"
17.51,"[Sequencer] New Task, id_097, D-2, R-2, Normal"
17.64,"[Sequencer] New Task, id_098, D-3, R-3, Normal"
17.77,"[Sequencer] New Task, id_099, D-4, R-4, Stat"
17.90,"[Sequencer] New Task, id_100, D-5, R-5, Stat"
18.02,"[Sequencer] New Task, id_101, D-6, R-6, Stat"
18.16,"[Sequencer] New Task, id_102, D-7, R-7, Normal"
18.29,"[Sequencer] New Task, id_103, D-8, R-8, Stat"
18.42,"[Sequencer] New Task, id_104, D-9, R-9, Stat"
18.56,"[Sequencer] New Task, id_105, D-10, R-10, Stat"
18.69,"[Sequencer] New Task, id_106, D-11, R-11, Normal"
18.82,"[Sequencer] New Task, id_107, D-12, R-12, Normal"
18.94,"[Sequencer] New Task, id_108, D-1, R-13, Normal"
19.08,"[Sequencer] New Task, id_109, D-2, R-14, Stat"
19.21,"[Sequencer] New Task, id_110, D-3, R-15, Normal"
19.34,"[Sequencer] New Task, id_111, D-4, R-16, Normal"
19.47,"[Sequencer] New Task, id_112, D-5, R-17, Normal"
19.66,"[Sequencer] New Task, id_113, D-6, R-18, Stat"
