00:00:00,D-1,R-1,Stat,True
00:00:22,D-2,R-2,Normal,False
00:00:43,D-3,R-3,Stat,True
00:01:05,D-4,R-4,Stat,False
00:01:26,D-5,R-5,Normal,False
00:01:48,D-6,R-6,Stat,False
00:02:10,D-7,R-7,Stat,False
00:02:31,D-8,R-8,Stat,False
00:02:53,D-9,R-9,Normal,False
00:03:14,D-10,R-10,Normal,False
00:03:36,D-11,R-11,Normal,False
00:03:58,D-12,R-12,Stat,False
00:04:19,D-1,R-13,Stat,True
00:04:41,D-2,R-14,Stat,False
00:05:02,D-3,R-15,Normal,False
00:05:24,D-4,R-16,Normal,False
00:05:46,D-5,R-17,Normal,False
00:06:07,D-6,R-18,Normal,False
00:06:29,D-7,R-19,Stat,False
00:06:50,D-8,R-20,Stat,True
00:07:12,D-9,R-21,Stat,False
00:07:34,D-10,R-22,Normal,False
00:07:55,D-11,R-23,Stat,False
00:08:17,D-12,R-24,Stat,True
00:08:39,D-1,R-1,Stat,True
00:09:00,D-2,R-2,Normal,True
00:09:22,D-3,R-3,Normal,False
00:09:43,D-4,R-4,Normal,False
00:10:05,D-5,R-5,Normal,False
00:10:27,D-6,R-6,Stat,True
00:10:48,D-7,R-7,Stat,False
00:11:10,D-8,R-8,Stat,False
00:11:31,D-9,R-9,Normal,False
00:11:53,D-10,R-10,Normal,False
00:12:15,D-11,R-11,Normal,False
00:12:36,D-12,R-12,Normal,False
00:12:58,D-1,R-13,Normal,False
00:13:19,D-2,R-14,Normal,True
00:13:41,D-3,R-15,Normal,False
00:14:03,D-4,R-16,Stat,True
00:14:24,D-5,R-17,Normal,False
00:14:46,D-6,R-18,Stat,True
00:15:07,D-7,R-19,Stat,False
00:15:29,D-8,R-20,Normal,True
00:15:51,D-9,R-21,Stat,False
00:16:12,D-10,R-22,Stat,False
00:16:34,D-11,R-23,Normal,False
00:16:55,D-12,R-24,Normal,False
00:17:17,D-1,R-1,Stat,False
00:17:39,D-2,R-2,Normal,True
00:18:00,D-3,R-3,Normal,True
00:18:22,D-4,R-4,Normal,False
00:18:43,D-5,R-5,Stat,False
00:19:05,D-6,R-6,Stat,False
00:19:27,D-7,R-7,Stat,True
00:19:48,D-8,R-8,Stat,True
00:20:10,D-9,R-9,Normal,False
00:20:31,D-10,R-10,Stat,True
00:20:53,D-11,R-11,Normal,False
00:21:15,D-12,R-12,Normal,True
00:21:36,D-1,R-13,Stat,True
00:21:58,D-2,R-14,Normal,True
00:22:20,D-3,R-15,Normal,False
00:22:41,D-4,R-16,Stat,False
00:23:03,D-5,R-17,Stat,False
00:23:24,D-6,R-18,Normal,True
00:23:46,D-7,R-19,Normal,False
00:24:08,D-8,R-20,Normal,True
00:24:29,D-9,R-21,Normal,True
00:24:51,D-10,R-22,Normal,False
00:25:12,D-11,R-23,Normal,False
00:25:34,D-12,R-24,Normal,False
00:25:56,D-1,R-1,Stat,False
00:26:17,D-2,R-2,Normal,False
00:26:39,D-3,R-3,Normal,False
00:27:00,D-4,R-4,Normal,False
00:27:22,D-5,R-5,Normal,False
00:27:44,D-6,R-6,Stat,False
00:28:05,D-7,R-7,Normal,False
00:28:27,D-8,R-8,Stat,False
00:28:48,D-9,R-9,Stat,False
00:29:10,D-10,R-10,Normal,False
00:29:32,D-11,R-11,Stat,True
00:29:53,D-12,R-12,Normal,False
00:30:15,D-1,R-13,Normal,False
00:30:36,D-2,R-14,Normal,True
00:30:58,D-3,R-15,Stat,False
00:31:20,D-4,R-16,Normal,False
00:31:41,D-5,R-17,Normal,False
00:32:03,D-6,R-18,Normal,False
00:32:24,D-7,R-19,Normal,False
00:32:46,D-8,R-20,Stat,True
00:33:08,D-9,R-21,Normal,True
00:33:29,D-10,R-22,Normal,False
00:33:51,D-11,R-23,Normal,False
00:34:12,D-12,R-24,Stat,False
00:34:34,D-1,R-1,Normal,False
00:34:56,D-2,R-2,Normal,False
00:35:17,D-3,R-3,Normal,False
00:35:39,D-4,R-4,Stat,True
00:36:01,D-5,R-5,Stat,False
00:36:22,D-6,R-6,Stat,False
00:36:44,D-7,R-7,Normal,False
00:37:05,D-8,R-8,Stat,False
00:37:27,D-9,R-9,Stat,True
00:37:49,D-10,R-10,Stat,False
